"EXECUTIONS","SORTS","COMMAND_TYPE","DISK_READS","SQL_TEXT"
"84","14","3","50904","select * from (SELECT Total.*,Row_number() over( order by 1) RowNumber FROM (select * from tb_mq_message where subject=:PARAM1 and (State='Pending' or (State='ProcessFail' and ProcessNumber<5)) order by CreateDateTime asc) Total) WHERE RowNumber >= 1 AND RowNumber <= 100"
"84","0","3","9585","SELECT count(1) count from (select * from (select * from tb_todo_notice where isclosed=0 and type='Web' and ReceiveId=:PARAM1 order by CreateDateTime desc) aaa where 1=1) Total"
"84","1","3","9585","select * from (SELECT Total.*,Row_number() over( order by 1) RowNumber FROM (select * from (select * from tb_todo_notice where isclosed=0 and type='Web' and ReceiveId=:PARAM1 order by CreateDateTime desc) aaa where 1=1) Total) WHERE RowNumber >= 1 AND RowNumber <= 10"
"84","0","3","1756","SELECT count(1) count from (select * from (select * from
 (
 select l.*,r.userid,r.username,f.modelname modulename,f.ordernum from
 (
 select * from tb_todo_task a where a.isclosed=0
 and (a.startdatetime is null or a.startdatetime<=(to_char(sysdate,'yyyy-mm-dd hh24:mi:ss')))
 and (a.enddatetime is null or a.enddatetime<=(to_char(sysdate,'yyyy-mm-dd hh24:mi:ss')))
 ) l
 left join tb_todo_handle r
 on l.taskid=r.taskid and r.isprocessed=0
 left join tb_rs_form f
 on l.formid=f.formid
 )
 where 1=1 and HandleMode='Action' and userid='C69mgX5n8UCHAb_-2-v_sA' order by CreateDateTime desc) aaa where 1=1) Total"
"84","1","3","1756","select * from (SELECT Total.*,Row_number() over( order by 1) RowNumber FROM (select * from (select * from
 (
 select l.*,r.userid,r.username,f.modelname modulename,f.ordernum from
 (
 select * from tb_todo_task a where a.isclosed=0
 and (a.startdatetime is null or a.startdatetime<=(to_char(sysdate,'yyyy-mm-dd hh24:mi:ss')))
 and (a.enddatetime is null or a.enddatetime<=(to_char(sysdate,'yyyy-mm-dd hh24:mi:ss')))
 ) l
 left join tb_todo_handle r
 on l.taskid=r.taskid and r.isprocessed=0
 left join tb_rs_form f
 on l.formid=f.formid
 )
 where 1=1 and HandleMode='Action' and userid='C69mgX5n8UCHAb_-2-v_sA' order by CreateDateTime desc) aaa where 1=1) Total) WHERE RowNumber >= 1 AND RowNumber <= 10"
"0","0","3","1324","/*   The name + type results of these queries will be used by the Code Assistant   if the ""Describe Context"" option is enabled. After typing 3 or more characters   the Code Assistant will show a list of matching names.   Separate multiple queries with semi-colons and use the :schema bind variable   to restrict names to the currently connected user.    In case of an error the query results will be omitted. No error message will   be displayed.   Place this file in the PL/SQL Developer installation directory for all users,   or in the ""%APPDATA%\PLSQL Developer"" directory for a specific user. */ select object_name, object_type   from sys.all_objects o  where o.owner = :schema    and o.object_type in ('TABLE', 'VIEW', 'PACKAGE','TYPE', 'PROCEDURE', 'FUNCTION', 'SEQUENCE') "
"0","433","3","1324"," select s.synonym_name as object_name, o.object_type   from all_synonyms s, sys.all_objects o  where s.owner in ('PUBLIC', :schema)    and o.owner = s.table_owner    and o.object_name = s.table_name    and o.object_type in ('TABLE', 'VIEW', 'PACKAGE','TYPE', 'PROCEDURE', 'FUNCTION', 'SEQUENCE') "
"0","0","3","951","select /*+ index(idl_ub1$ i_idl_ub11) +*/ piece#,length,piece from idl_ub1$ where obj#=:1 and part=:2 and version=:3 order by piece#"
"0","17440","3","469","select /*+ rule */ bucket, endpoint, col#, epvalue from histgrm$ where obj#=:1 and intcol#=:2 and row#=:3 order by bucket"
"0","0","3","320","select /*+ index(idl_ub2$ i_idl_ub21) +*/ piece#,length,piece from idl_ub2$ where obj#=:1 and part=:2 and version=:3 order by piece#"
